name,osm_id,amenity,x,y
Pizza Schmizza,323588302,fast_food,-122.6820853,45.5264071
,323588303,toilets,-122.6787628,45.5228714
,357000731,police,-122.6705764,45.5247853
Park Kitchen,357000733,restaurant,-122.6783966,45.5263112
Temple Baptist Church,357362251,place_of_worship,-122.6590212,45.532663
Union Gospel Mission Lifechange Center,357362470,place_of_worship,-122.673667,45.5233225
Victory Temple Church of God in Christ,357362544,place_of_worship,-122.6623497,45.536555
Holy Rosary Church,357363075,place_of_worship,-122.6617443,45.5329803
,427828009,atm,-122.6598151,45.5348885
,476310278,drinking_water,-122.6524424,45.5261325
,479562225,post_box,-122.679637,45.5273578
,480521790,telephone,-122.6584619,45.5390972
,545064342,post_box,-122.6774016,45.525115
,549566160,post_box,-122.685001,45.5242929
,567251148,post_box,-122.6812348,45.5214079
,568913332,post_box,-122.6852714,45.5285262
,568913521,post_box,-122.6852714,45.5285162
,568914984,post_box,-122.6779817,45.5220235
,575422966,post_box,-122.6769109,45.5288972
The Portland Loo,580219227,toilets,-122.6759815,45.526708
,596932545,post_box,-122.68516,45.5265562
,603461808,drinking_water,-122.6783598,45.5219389
,612015193,telephone,-122.6584016,45.5351525
,615090786,post_box,-122.6854033,45.5313708
Butterfly Belly Asian Cuisine,621110758,restaurant,-122.6793577,45.5255788
,632186067,post_box,-122.6726487,45.521223
,635573907,post_box,-122.6790776,45.5205914
,661827309,post_box,-122.6792765,45.5243943
,661827310,drinking_water,-122.6788901,45.5240842
Al's Den,663564110,bar,-122.6835885,45.5228045
World Cup Coffee & Tea,663564111,cafe,-122.6819149,45.5231098
,663564114,post_box,-122.6810207,45.5237538
Augen Gallery,663797625,arts_centre,-122.6778328,45.5243378
First Citizens Bank,664314254,bank,-122.6775482,45.5217274
,664314269,bicycle_parking,-122.6764557,45.5226009
Sisters of the Road,664314273,cafe,-122.6766554,45.5243457
Gotham Tavern,664314287,restaurant,-122.67445,45.5391972
,664314330,bicycle_parking,-122.6638887,45.5297951
Prime Rib & Chocolate Cake,664314337,restaurant,-122.6531405,45.5345251
Starbucks,669128428,cafe,-122.6764193,45.5217867
,669128430,post_box,-122.6776841,45.5266963
,677232465,drinking_water,-122.6765541,45.5281914
,736003191,post_box,-122.6765998,45.5312399
Car Wash,797787717,fountain,-122.6752908,45.5226837
,818034314,post_box,-122.6846476,45.5221614
J Cafe,839239723,cafe,-122.6598766,45.5301775
Doug Fir,891315831,nightclub,-122.6568402,45.5226548
Doug Fir Lounge,891315843,restaurant,-122.6568779,45.522793
,937462773,drinking_water,-122.6765278,45.5274616
Whole Bowl,974984611,fast_food,-122.682718,45.5264169
Wilf's Restaurant,1306161310,restaurant,-122.6762666,45.5286287
,1410444363,parking_entrance,-122.6631852,45.5269179
Phó Văn Fresh,1558920092,restaurant,-122.6814308,45.5264214
,1588761782,parking_entrance,-122.6683418,45.5319277
,1651281491,clock,-122.6766156,45.5209115
The Portland Loo,1687765788,toilets,-122.6821782,45.5287313
,1703213410,post_box,-122.6805966,45.5204307
,1704927312,fountain,-122.6817909,45.5290808
,1713162580,bench,-122.6679729,45.5328856
,1713162586,bench,-122.6681086,45.5328877
,1713162617,bench,-122.6681123,45.5329051
,1713162753,shelter,-122.6684444,45.5329701
Noble Rot,1811986406,restaurant,-122.6541573,45.5230413
,1829184912,parking_entrance,-122.6537893,45.5295796
,1860629068,atm,-122.656319,45.5339438
Spirit of '77,1947887413,pub,-122.6614699,45.526692
,1959282098,bicycle_parking,-122.6821115,45.5245496
Burnside Brewing Co.,1963188104,pub,-122.6584695,45.5233261
Pearl District Dental,1968955547,dentist,-122.6810456,45.526678
,1968955549,post_box,-122.6813834,45.5266205
Hotlips Pizza,1970544872,fast_food,-122.68074,45.528276
Laughing Planet,1970544873,restaurant,-122.6807498,45.5284161
Ox Restaurant,1975835339,restaurant,-122.6618113,45.5394166
Whey Bar,1975835340,bar,-122.6619962,45.5394147
,1981602461,bicycle_parking,-122.6534928,45.5316406
,1981602463,bicycle_parking,-122.6559093,45.5319994
,2156756379,bicycle_parking,-122.6585193,45.5297554
,2156756380,bicycle_parking,-122.658405,45.5299432
Alexis Restaurant,2172271797,restaurant,-122.6726712,45.5233211
Pints Everyday Cafe,2173094802,cafe,-122.6753614,45.5262004
Prasad,2174824087,restaurant,-122.6806866,45.5245259
J. Pepin,2174824165,arts_centre,-122.6803256,45.525355
,2176778188,parking_entrance,-122.6826961,45.5244648
Tiny's Coffee,2274345875,cafe,-122.6618817,45.5376342
Schmizza Pub & Grub,2285929032,restaurant,-122.6587607,45.53494
,2368762537,atm,-122.681154,45.527413
,2368765985,bicycle_parking,-122.681191,45.527486
,2368782352,bench,-122.681575,45.528825
,2368783131,bench,-122.681662,45.528812
,2368783552,drinking_water,-122.681842,45.528814
,2368784300,bench,-122.681974,45.528813
,2368784594,bench,-122.682029,45.528811
,2369157092,bench,-122.678994,45.525455
,2371163380,bench,-122.682097,45.529356
,2371163460,bench,-122.682019,45.529352
,2371172245,bicycle_parking,-122.680878,45.528076
,2372451488,bicycle_parking,-122.680416,45.527323
,2372455033,bicycle_parking,-122.679295,45.526796
,2372455616,drinking_water,-122.678886,45.52648
,2372547194,bicycle_parking,-122.678658,45.525632
,2372552216,bicycle_parking,-122.67868,45.526389
,2375124887,atm,-122.6735631,45.5224133
,2375124931,drinking_water,-122.6713805,45.5230099
,2375124934,drinking_water,-122.6712177,45.5231671
Food Court,2375124938,food_court,-122.6535763,45.5328048
,2379421622,bench,-122.68251,45.5279864
,2379422302,bench,-122.682419,45.527954
,2379422900,bench,-122.6824998,45.5279092
,2379423428,bench,-122.6826997,45.5279041
,2379423551,bench,-122.682669,45.527982
,2380508688,bicycle_parking,-122.684449,45.526535
,2380512827,bicycle_parking,-122.6844555,45.5272601
,2380518838,bicycle_parking,-122.683957,45.527979
,2380522292,bicycle_parking,-122.683401,45.528084
,2380525764,bicycle_parking,-122.6834,45.528305
,2380533302,bicycle_parking,-122.683406,45.52849
,2380533532,bicycle_parking,-122.6828199,45.5287568
,2502048016,drinking_water,-122.680624,45.5283396
,2503337802,bicycle_parking,-122.6717289,45.5238153
,2503339296,toilets,-122.6717034,45.5233669
,2503342003,toilets,-122.6707247,45.5247265
,2505189745,bicycle_parking,-122.6735951,45.5217067
,2506628067,bicycle_parking,-122.680062,45.525798
,2506628452,bicycle_parking,-122.680062,45.525912
,2507407934,bicycle_parking,-122.68095,45.528351
,2507407989,bicycle_parking,-122.680949,45.528305
,2507811372,bicycle_parking,-122.683223,45.523548
,2511963966,bicycle_parking,-122.6811618,45.5263842
,2513155612,bicycle_parking,-122.681305,45.526366
,2513224427,bicycle_parking,-122.6822484,45.523152
,2513225384,bicycle_parking,-122.6822487,45.5231881
,2513233651,bicycle_parking,-122.681223,45.523483
,2513236857,bicycle_parking,-122.6811128,45.5252779
,2514278686,bicycle_parking,-122.681324,45.52621
,2514279193,bicycle_parking,-122.681295,45.526042
,2514296841,bicycle_parking,-122.681209,45.523157
,2514299032,bicycle_parking,-122.681215,45.523347
,2515114498,bicycle_parking,-122.671946,45.520283
,2515444134,bicycle_parking,-122.6811385,45.5257288
,2515445013,bicycle_parking,-122.6811371,45.5256863
,2515447143,bicycle_parking,-122.6811384,45.5256323
,2515449595,bicycle_parking,-122.68112,45.525514
,2515506716,bicycle_parking,-122.681027,45.5231
Portland Saturday Market,2539177225,marketplace,-122.6697912,45.5227219
Skidmore Market,2539201585,marketplace,-122.6716915,45.5224569
Rite Aid,2539262854,pharmacy,-122.6810898,45.527385
Burrito Bar,2545360663,restaurant,-122.6804324,45.5274342
,2857264905,bicycle_parking,-122.6601573,45.5277866
,2858135040,atm,-122.67654,45.5204521
,3065916133,post_box,-122.6782656,45.5231334
,3283478396,parking_entrance,-122.6844003,45.5209277
,3291927969,atm,-122.6745765,45.5239487
,3292001374,waste_basket,-122.6755089,45.5237045
,3292001385,waste_basket,-122.6755728,45.5238489
,3292001397,waste_basket,-122.6753752,45.5239193
,3293105244,waste_basket,-122.6854057,45.5250846
,3293105245,bicycle_parking,-122.6840033,45.525126
The Mezz,3293194839,cafe,-122.6833546,45.5235142
,3293195873,bicycle_parking,-122.6834475,45.5220343
,3293195901,waste_basket,-122.6830342,45.5236193
,3293195902,bench,-122.6830031,45.5236205
Le Cordon Bleu,3293303180,college,-122.6810685,45.5203297
USPS,3293303207,post_box,-122.6817244,45.520526
,3451072081,waste_basket,-122.6658607,45.5283268
,3468162468,drinking_water,-122.6723097,45.5202999
,3476998683,bench,-122.6834061,45.5259086
,3476998684,waste_basket,-122.6831023,45.5258557
,3476999397,waste_basket,-122.6833876,45.5258472
,3477026759,waste_basket,-122.6819952,45.5257665
,3477205818,bench,-122.6812637,45.528507
,3477205819,waste_basket,-122.6813133,45.5291203
,3477205820,bench,-122.6812908,45.5297374
,3477205821,waste_basket,-122.6810453,45.5266025
,3477205822,waste_basket,-122.6812358,45.5283889
,3477205825,telephone,-122.681096,45.5271991
,3477205826,bench,-122.6812358,45.5284074
,3477205827,bench,-122.6813019,45.5290802
,3477205828,waste_basket,-122.681284,45.5295693
,3477214643,bench,-122.6814273,45.5291476
,3477214646,bench,-122.6814069,45.5289137
,3477214647,waste_basket,-122.6822002,45.5287584
,3477214648,bench,-122.6814229,45.5290304
,3477214649,waste_basket,-122.681483,45.528768
,3477214650,waste_basket,-122.6824111,45.5287805
Oak Street Coffee,3492633633,cafe,-122.6781571,45.521664
,3492633650,waste_basket,-122.6773169,45.5217432
,3492633651,recycling,-122.6773323,45.5217471
,3492633652,parking_entrance,-122.677848,45.521843
,3497706016,waste_basket,-122.6773992,45.5211449
,3497706017,recycling,-122.6773898,45.521161
,3497706018,waste_basket,-122.6775818,45.5211834
,3497706019,recycling,-122.6775725,45.5211994
,3497706022,bicycle_parking,-122.6771714,45.5215742
,3497706023,recycling,-122.6771642,45.5215865
,3497706024,waste_basket,-122.6771558,45.5216017
,3497706044,bicycle_parking,-122.6801478,45.5226987
,3497706051,bicycle_parking,-122.6801514,45.522788
,3497706064,bicycle_parking,-122.6801553,45.5228878
Armory Cafe,3498112765,restaurant,-122.6818109,45.5242346
,3498112772,parking_entrance,-122.6820257,45.5232471
,3498112774,atm,-122.6813241,45.5233198
,3498112775,bicycle_parking,-122.6820729,45.523583
,3498112778,bench,-122.681936,45.5237573
,3498112780,waste_basket,-122.6812209,45.5238289
,3498112788,waste_basket,-122.6812441,45.5243316
,3516748216,parking_entrance,-122.6798831,45.5207607
,3518131233,bench,-122.6819393,45.5326034
,3518131234,bench,-122.6816873,45.5326335
,3518131235,bench,-122.6821461,45.5326699
,3518227543,bench,-122.6822357,45.5332427
,3518227544,bench,-122.6816694,45.5333241
,3518227545,bench,-122.682061,45.5333608
,3595089459,bicycle_parking,-122.682086,45.5202913
,3595089469,bicycle_parking,-122.6829928,45.5203603
,3595089471,bicycle_parking,-122.6841406,45.5203765
,3595089477,bicycle_parking,-122.6829675,45.5204092
,3595089478,bicycle_parking,-122.6831498,45.5204185
,3595089479,bicycle_parking,-122.6843419,45.5204185
,3595089482,bicycle_parking,-122.6841182,45.5204334
,3595089484,bench,-122.6839906,45.5204529
,3595089486,waste_basket,-122.6829319,45.5204565
,3595089487,bicycle_parking,-122.6843192,45.5204623
,3595089491,bicycle_parking,-122.6837813,45.5205092
,3595089492,bicycle_parking,-122.6838472,45.5205267
,3595089495,bicycle_parking,-122.6830904,45.5205653
,3595089496,bicycle_parking,-122.6819181,45.5205703
,3595089506,bicycle_parking,-122.6820087,45.52069
,3595089510,bicycle_parking,-122.6822143,45.5207447
,3595089513,bicycle_parking,-122.6823425,45.5207788
,3595089516,bicycle_parking,-122.6824585,45.5208097
,3595089517,bicycle_parking,-122.6825904,45.5208448
,3595089523,waste_basket,-122.682921,45.5210462
,3595089524,bicycle_parking,-122.6829567,45.5210556
,3595089525,bicycle_parking,-122.6834181,45.5210605
,3595089526,bicycle_parking,-122.6836183,45.5211129
,3595089527,waste_basket,-122.6836579,45.5211232
,3601494331,waste_basket,-122.6818938,45.5250503
,3605557888,bicycle_parking,-122.658432,45.534245
Lloyd Athletic Club,3605557889,bicycle_parking,-122.657272,45.533768
,3605557890,bicycle_parking,-122.657143,45.533722
,3605557891,bicycle_parking,-122.661858,45.534
,3605557892,bicycle_parking,-122.663338,45.534161
Holladay Park Fountain,3609289859,fountain,-122.6535554,45.5308384
,3609309224,drinking_water,-122.6533037,45.5306252
,3609309226,bench,-122.6532711,45.5306081
,3609549740,bicycle_parking,-122.6550033,45.5294197
,3609549741,bicycle_parking,-122.6550244,45.5294195
